"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Age","Blood_coverage"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Degree_resistance",0.579273997096485,"First","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Access",0.00612679625934573,"First","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","eir",0.00234239509257667,"First","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","half_life",0.109349890174063,"First","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Coverage",0.161349434941546,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","initialEfficacy",0.28869488046898,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Degree_resistance",0.597902127123182,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Access",0.0109006813913964,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","eir",0.008443986060344,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","half_life",0.15493929610633,"Total","0.2","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Coverage",0.102602048086077,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","initialEfficacy",0.197272323792167,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Degree_resistance",0.593856791804349,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Access",0,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","eir",0,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","half_life",0.106268836317407,"First","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Coverage",0.169964370449914,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","initialEfficacy",0.283010090304889,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Degree_resistance",0.590427191545982,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Access",0.0116429433830591,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","eir",0.00807982861358015,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","half_life",0.153463518469111,"Total","0.2","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Coverage",0.0242381468306546,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","initialEfficacy",0.105888747190064,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Degree_resistance",0.677975137717829,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Access",0.0348439817998651,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","eir",0.0840192879405426,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","half_life",0.0730346985210441,"First","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Coverage",0.0272995280514682,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","initialEfficacy",0.128673293589085,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Degree_resistance",0.702669353063819,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","Access",0.0444590775166073,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","eir",0.100183103508326,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_0","half_life",0.0919045534382931,"Total","0","sesonality1","18","0"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Coverage",0.016132260449442,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","initialEfficacy",0.105620571146477,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Degree_resistance",0.68986622529919,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Access",0.0342546893683623,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","eir",0.0849367486062966,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","half_life",0.0691895051302317,"First","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Coverage",0.0258635494332675,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","initialEfficacy",0.129943359656728,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Degree_resistance",0.698870240931559,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","Access",0.0455211623280635,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","eir",0.109202703215596,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_18_Blood_coverage_1","half_life",0.0896043200712268,"Total","0","sesonality1","18","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Coverage",0.104914712787092,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","initialEfficacy",0.206648050451396,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Degree_resistance",0.556575072175747,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Access",0.0119173985839694,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","eir",0.00805878572684632,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","half_life",0.11188598027495,"First","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Coverage",0.16474985146506,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","initialEfficacy",0.288389848920739,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Degree_resistance",0.584829509999626,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Access",0.0114736643091976,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","eir",0.00705125258201973,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_0","half_life",0.154697065692787,"Total","0","sesonality1","0.75","0"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Coverage",0.0933556358749833,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","initialEfficacy",0.214808540701286,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Degree_resistance",0.600727358559408,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Access",0,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","eir",0,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","half_life",0.0911084648643228,"First","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Coverage",0.169058032743391,"Total","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","initialEfficacy",0.281280912861505,"Total","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Degree_resistance",0.603421004663716,"Total","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Access",0.0100871675689639,"Total","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","eir",0.00845629958007583,"Total","0","sesonality1","0.75","1"
"Spread_sesonality1_Coverage_reduced_0_Age_0.75_Blood_coverage_1","half_life",0.136890809343984,"Total","0","sesonality1","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Coverage",0.0258847809227944,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","initialEfficacy",0.103744808151977,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Degree_resistance",0.644653315501991,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Access",0.0401168117780606,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","eir",0.116850758340815,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","half_life",0.0687495253043613,"First","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Coverage",0.0299114391618974,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","initialEfficacy",0.129648417553272,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Degree_resistance",0.669760363272322,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","Access",0.0445166489016115,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","eir",0.145683303206438,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_0","half_life",0.0834546035464157,"Total","0","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Coverage",0.023065071042375,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","initialEfficacy",0.100970510834057,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Degree_resistance",0.649248892874448,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Access",0.0269889436581367,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","eir",0.118375810080337,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","half_life",0.0813507715106459,"First","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Coverage",0.032327024682162,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","initialEfficacy",0.127781894506387,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Degree_resistance",0.659157192953897,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","Access",0.0434498634374823,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","eir",0.153528669439002,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_0","half_life",0.103606983256383,"Total","0.2","sesonality2","18","0"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Coverage",0.0206407769571314,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","initialEfficacy",0.104516472418723,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Degree_resistance",0.655112327846411,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Access",0.033198260277861,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","eir",0.122425827703003,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","half_life",0.0641063347968707,"First","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Coverage",0.0289032199775242,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","initialEfficacy",0.132212393908092,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Degree_resistance",0.673237544413201,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","Access",0.0448601272081535,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","eir",0.150852493816547,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_18_Blood_coverage_1","half_life",0.0835503158448536,"Total","0","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Coverage",0.0180887107017321,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","initialEfficacy",0.101726816133786,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Degree_resistance",0.652297369525621,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Access",0.0331143580717011,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","eir",0.111072712196687,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","half_life",0.0837000333704723,"First","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Coverage",0.0323330080654039,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","initialEfficacy",0.128438947207484,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Degree_resistance",0.663002838152172,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","Access",0.0484714051208457,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","eir",0.149910478942682,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_18_Blood_coverage_1","half_life",0.106221931473145,"Total","0.2","sesonality2","18","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Coverage",0.0788794840016948,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","initialEfficacy",0.199118408308904,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Degree_resistance",0.619376328692338,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Access",0,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","eir",0,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","half_life",0.102625778997064,"First","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Coverage",0.140733321345846,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","initialEfficacy",0.268747003081363,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Degree_resistance",0.608447661278984,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","Access",0.0130914334006279,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","eir",0.0080834907572955,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_0","half_life",0.151855723915481,"Total","0","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Coverage",0.0924707928480781,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","initialEfficacy",0.198365309721766,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Degree_resistance",0.580752474159623,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Access",0.0108701743568412,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","eir",0.00480020283430146,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","half_life",0.112741046079391,"First","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Coverage",0.14140100802918,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","initialEfficacy",0.261011803594599,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Degree_resistance",0.600765298790823,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","Access",0.0131009696329613,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","eir",0.00644365931511982,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_0","half_life",0.150287673077381,"Total","0.2","sesonality2","0.75","0"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Coverage",0.0806792267487462,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","initialEfficacy",0.200307265487162,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Degree_resistance",0.596470452262196,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Access",0.0124007783727899,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","eir",0.00652899876317966,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","half_life",0.103613278365926,"First","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Coverage",0.135917393993091,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","initialEfficacy",0.26209963902753,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Degree_resistance",0.612519593370467,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","Access",0.0146031383199951,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","eir",0.00889202851208622,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0_Age_0.75_Blood_coverage_1","half_life",0.143589667773274,"Total","0","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Coverage",0.0914647717539135,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","initialEfficacy",0.198767266732121,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Degree_resistance",0.59208918940815,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Access",0.00501960090250068,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","eir",0.000765494618996615,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","half_life",0.111893676584319,"First","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Coverage",0.139595135276193,"Total","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","initialEfficacy",0.264369436277933,"Total","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Degree_resistance",0.606710196474483,"Total","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","Access",0.0129131326467636,"Total","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","eir",0.00865385361814213,"Total","0.2","sesonality2","0.75","1"
"Spread_sesonality2_Coverage_reduced_0.2_Age_0.75_Blood_coverage_1","half_life",0.14306914601246,"Total","0.2","sesonality2","0.75","1"
